tile,art_index,score,wscore,confidence,cells_scored,live,informative,rank,margin,best_score_index,notes
39,39,0.9132,0.9467,high,9,True,True,1,0.0191,39,
40,40,0.9271,0.9635,low,3,True,True,31,-0.0208,154,identity ranks 31 of 256; only 3 of 9 cells scored (6 masked)
41,41,0.85,0.925,low,5,True,True,5,-0.0625,143,identity ranks 5 of 256; index 143 beats identity by 0.062
42,42,0.8613,0.8681,low,8,True,True,1,0.0312,42,
43,43,0.8802,0.9416,low,3,True,True,4,-0.1094,78,identity ranks 4 of 256; index 78 beats identity by 0.109; only 3 of 9 cells scored (6 masked)
44,44,0.9344,0.9702,high,5,True,True,2,-0.0219,19,
45,45,0.8691,0.8636,low,8,True,True,5,-0.0469,137,identity ranks 5 of 256
46,46,0.8889,0.9173,low,9,True,True,2,-0.0035,137,
47,47,0.8906,0.8906,low,3,True,True,74,-0.0885,154,identity ranks 74 of 256; index 154 beats identity by 0.089; only 3 of 9 cells scored (6 masked)
48,48,1.0,1.0,high,8,True,True,1,0.0098,48,
49,49,1.0,1.0,high,6,True,True,1,0.0,5,
50,50,0.9668,0.9336,high,8,True,True,3,-0.0176,5,
51,51,0.8187,0.8411,low,5,True,True,14,-0.0687,69,identity ranks 14 of 256; index 69 beats identity by 0.069
52,52,0.9609,0.9219,low,6,True,True,4,-0.0182,12,identity ranks 4 of 256
53,53,0.8375,0.8839,low,5,True,True,8,-0.0375,58,identity ranks 8 of 256
54,54,0.7917,0.6881,low,9,True,True,140,-0.125,154,identity ranks 140 of 256; index 154 beats identity by 0.125
55,55,0.9453,0.9844,high,4,True,True,1,0.0273,55,only 4 of 9 cells scored (5 masked)
56,56,0.9219,0.8438,low,8,True,True,26,-0.0625,77,identity ranks 26 of 256; index 77 beats identity by 0.062
57,57,0.8455,0.8431,low,9,True,True,60,-0.0712,154,identity ranks 60 of 256; index 154 beats identity by 0.071
58,58,0.9288,0.9631,high,9,True,True,1,0.0122,58,
59,59,0.9453,0.9878,high,6,True,True,1,0.026,59,
60,60,0.8938,0.9146,low,5,True,True,1,0.1438,60,
61,61,0.8375,0.858,low,5,True,True,1,0.0469,61,
62,62,0.7934,0.8802,low,9,True,True,171,-0.2066,5,identity ranks 171 of 256; index 5 beats identity by 0.207
63,63,0.9004,0.9498,high,8,True,True,1,0.0059,63,
64,64,0.8542,0.8317,low,9,True,True,76,-0.0972,5,identity ranks 76 of 256; index 5 beats identity by 0.097
65,65,0.8351,0.738,low,9,True,True,92,-0.1215,176,identity ranks 92 of 256; index 176 beats identity by 0.122
66,66,0.9705,0.9911,high,9,True,True,1,0.099,66,
67,67,0.9082,0.8816,high,8,True,True,1,0.0078,67,
68,68,0.9933,1.0,high,7,True,True,1,0.0112,68,
69,69,1.0,1.0,high,8,False,True,1,0.0,69,
70,70,1.0,1.0,high,8,False,True,1,0.0,69,
71,71,0.9844,1.0,high,7,True,True,1,0.0246,71,
72,72,0.9896,0.9866,high,6,True,True,1,0.0052,72,
73,73,0.9643,0.9939,high,7,False,True,1,0.1027,73,
74,74,0.9316,0.9852,high,8,False,True,1,0.0371,74,
75,75,0.9978,0.9923,high,7,True,True,1,0.0513,75,
76,76,0.9792,0.9625,high,9,True,True,2,-0.0069,77,
77,77,0.9965,0.9959,high,9,False,True,1,0.0278,77,
78,78,0.9792,0.9779,high,9,False,True,1,0.0278,78,
79,79,0.9844,1.0,high,7,True,True,1,0.0268,79,
80,80,1.0,1.0,high,7,True,True,1,0.0,19,
81,81,0.9896,0.9866,high,6,True,True,1,0.0208,81,
82,82,0.974,0.9665,high,9,True,True,1,0.0174,82,
83,83,0.9453,0.9869,high,6,True,True,1,0.0026,83,
84,84,0.9955,0.9949,high,7,False,True,1,0.0,84,
85,85,0.9688,0.9943,high,8,False,True,1,0.1348,85,
86,86,1.0,1.0,high,9,False,True,1,0.0365,86,
87,87,0.8817,0.8335,low,7,True,True,2,-0.0335,37,
88,88,1.0,1.0,high,8,False,True,1,0.0547,88,
89,89,0.9316,0.9852,high,8,False,True,1,0.0371,89,
90,90,1.0,1.0,high,8,True,True,1,0.0469,90,
91,91,0.9878,0.9978,high,9,True,True,1,0.0191,91,
92,92,1.0,1.0,high,9,True,True,1,0.0312,92,
93,93,0.9983,0.9933,high,9,True,True,1,0.0278,93,
94,94,1.0,1.0,high,9,True,True,1,0.0347,94,
95,95,0.9453,0.9781,high,6,True,True,1,0.0182,95,
96,96,0.9948,0.9991,high,9,False,True,1,0.125,96,
97,97,0.9965,0.9994,high,9,False,True,1,0.0781,97,
98,98,0.8611,0.7672,low,9,False,True,4,-0.0243,141,identity ranks 4 of 256
99,99,0.8507,0.7767,low,9,False,True,31,-0.0434,135,identity ranks 31 of 256
100,100,0.875,0.8557,low,9,False,True,1,0.0087,100,
101,101,0.875,0.8557,low,9,False,True,1,0.0122,101,
102,102,0.8802,0.8592,low,9,False,True,1,0.0139,102,
103,103,0.8802,0.8592,low,9,False,True,1,0.0174,103,
104,104,0.8993,0.8144,low,9,True,True,1,0.0069,104,
105,105,0.901,0.8202,high,9,True,True,1,0.0156,105,
106,106,0.9427,0.9141,low,9,True,True,6,-0.0503,153,identity ranks 6 of 256; index 153 beats identity by 0.050
107,107,0.8906,0.8493,low,9,True,True,1,0.0486,107,
108,108,0.9201,0.854,high,9,True,True,2,-0.0087,88,
109,109,0.9028,0.8441,high,9,True,True,1,0.0191,109,
110,110,0.8854,0.8802,low,9,True,True,37,-0.0556,154,identity ranks 37 of 256; index 154 beats identity by 0.056
111,111,0.967,0.9642,high,9,True,True,1,0.1042,111,
112,112,0.9107,0.9107,low,7,True,True,12,-0.0179,5,identity ranks 12 of 256
113,113,0.9722,0.9375,high,9,True,True,2,-0.0139,5,
114,114,0.9323,0.8736,high,9,True,True,1,0.0469,114,
115,115,0.8767,0.7536,low,9,False,True,1,0.026,115,
116,116,0.9149,0.9694,high,9,True,True,2,-0.0017,154,
117,117,0.8611,0.8021,low,9,True,True,72,-0.1007,154,identity ranks 72 of 256; index 154 beats identity by 0.101
118,118,0.9514,0.8892,high,9,True,True,1,0.0625,118,
119,119,0.9062,0.9062,low,7,True,True,21,-0.0402,92,identity ranks 21 of 256
120,120,0.9297,0.9547,high,8,True,True,1,0.0996,120,
121,121,1.0,1.0,high,3,True,True,1,0.1042,121,only 3 of 9 cells scored (6 masked)
122,122,0.9635,0.9635,high,3,True,True,2,-0.0365,21,only 3 of 9 cells scored (6 masked)
123,123,0.9635,0.9635,high,3,True,True,2,-0.0156,106,only 3 of 9 cells scored (6 masked)
124,124,0.8906,0.8906,low,3,True,True,86,-0.0885,154,identity ranks 86 of 256; index 154 beats identity by 0.089; only 3 of 9 cells scored (6 masked)
125,125,0.8906,0.8906,low,3,True,True,74,-0.0885,154,identity ranks 74 of 256; index 154 beats identity by 0.089; only 3 of 9 cells scored (6 masked)
126,126,0.8906,0.8906,low,5,True,True,68,-0.0844,154,identity ranks 68 of 256; index 154 beats identity by 0.084
127,127,1.0,1.0,high,1,True,True,1,0.0,4,only 1 of 9 cells scored (8 masked)
128,128,0.9965,0.9949,high,9,True,True,1,0.0712,128,
129,129,0.9965,0.9949,high,9,True,True,1,0.0816,129,
130,130,0.9727,0.9905,high,8,False,True,1,0.0391,130,
131,131,0.8438,0.8351,low,9,True,True,6,-0.0434,137,identity ranks 6 of 256
132,132,0.8887,0.9071,low,8,True,True,1,0.0898,132,
133,133,0.9653,0.9617,high,9,True,True,1,0.066,133,
134,134,0.9375,0.8281,low,9,False,True,21,-0.0104,154,identity ranks 21 of 256
135,135,0.9754,0.9789,high,7,True,True,1,0.0536,135,
136,136,0.934,0.8469,high,9,True,True,1,0.033,136,
137,137,0.9844,0.9972,high,9,True,True,1,0.1267,137,
138,138,0.7719,0.855,low,5,True,True,65,-0.1594,203,identity ranks 65 of 256; index 203 beats identity by 0.159
139,139,0.8299,0.7865,low,9,True,True,90,-0.1007,154,identity ranks 90 of 256; index 154 beats identity by 0.101
140,140,0.8906,0.798,low,9,False,True,2,-0.0191,130,
141,141,0.8906,0.798,low,9,False,True,2,-0.0156,130,
